SHAHR,START,END,PRO-TOURISM
تهران,13950101,13950109,-2.41
تهران,13950109,13950116,-3.04
تهران,13950116,13950123,0.43
تهران,13950123,13950130,0.03
تهران,13950130,13950206,-0.72
تهران,13950206,13950213,-0.50
تهران,13950213,13950220,-0.85
تهران,13950220,13950227,-0.88
تهران,13950227,13950310,-0.26
تهران,13950310,13950324,-0.71
تهران,13950324,13950331,-0.87
تهران,13950331,13950421,-0.18
تهران,13950421,13950428,-0.11
تهران,13950428,13950504,-1.02
تهران,13950504,13950518,-0.76
تهران,13950518,13950525,-0.28
تهران,13950525,13950601,-0.09
تهران,13950601,13950608,-0.12
تهران,13950608,13950615,-0.90
تهران,13950615,13950705,-0.86
تهران,13950705,13950712,-0.33
تهران,13950712,13950726,-0.80
تهران,13950726,13950803,0.37
تهران,13950803,13950810,0.28
تهران,13950810,13950817,-0.32
تهران,13950817,13950824,0.42
تهران,13950824,13950915,-0.18
تهران,13950915,13950922,0.07
تهران,13950922,13951006,-0.44
تهران,13951006,13951013,0.15
تهران,13951013,13951020,-0.05
تهران,13951020,13951027,0.08
تهران,13951027,13951104,0.66
تهران,13951104,13951111,-0.33
تهران,13951111,13951118,0.29
تهران,13951118,13951125,0.50
تهران,13951125,13951202,-1.07
تهران,13951202,13951209,0.40
تهران,13951209,13951216,-0.38
تهران,13951216,13951223,1.06
تهران,13951223,13960107,0.36
تهران,13960107,13960128,0.33
تهران,13960128,13960211,0.29
تهران,13960211,13960218,-0.39
تهران,13960218,13960225,-0.41
تهران,13960225,13960301,-0.76
تهران,13960301,13960308,-0.40
تهران,13960308,13960322,-0.30
تهران,13960322,13960329,-0.40
تهران,13960329,13960412,-0.88
تهران,13960412,13960419,0.25
تهران,13960419,13960502,-0.61
تهران,13960502,13960509,-0.27
تهران,13960509,13960516,-0.80
تهران,13960516,13960523,-0.07
تهران,13960523,13960530,0.13
تهران,13960530,13960606,-0.09
تهران,13960606,13960613,-0.18
تهران,13960613,13960627,-0.59
تهران,13960627,13960703,-0.16
